scenario,planner,num_vehicles,runs,success_rate,mean_time_ms,std_time_ms,total_time_ms,mean_path_length,std_path_length,mean_nodes
obstacle_field,astar,1,5,0.0,0.0713,0.0073,0.3567,0.0,0.0,1.0
obstacle_field,astar,5,25,0.0,0.0666,0.0041,1.6642,0.0,0.0,1.0
obstacle_field,astar,20,100,0.0,0.0666,0.005,6.6614,0.0,0.0,1.0
obstacle_field,rrt,1,5,1.0,0.9393,0.1714,4.6963,114.8646,5.7177,65.8
obstacle_field,rrt,5,25,1.0,1.096,0.3844,27.401,114.6771,5.1135,72.0
obstacle_field,rrt,20,100,1.0,0.9864,0.5746,98.6397,112.239,9.1424,63.9
obstacle_field,rrt_star,1,5,1.0,712.4694,23.0724,3562.3472,97.6566,1.2177,1461.4
obstacle_field,rrt_star,5,25,1.0,724.8722,26.3418,18121.8047,97.0982,0.9758,1456.7
obstacle_field,rrt_star,20,100,1.0,739.2128,35.9185,73921.2841,96.9769,0.9557,1456.0
road_detour,astar,1,5,0.0,0.0897,0.0173,0.4487,0.0,0.0,1.0
road_detour,astar,5,25,0.0,0.1184,0.0289,2.9595,0.0,0.0,1.0
road_detour,astar,20,100,0.0,0.0654,0.0033,6.5399,0.0,0.0,1.0
road_detour,rrt,1,5,1.0,0.6091,0.1551,3.0454,112.7842,6.5508,61.2
road_detour,rrt,5,25,1.0,0.6215,0.1833,15.5373,112.6835,6.1478,59.9
road_detour,rrt,20,100,1.0,0.5033,0.1237,50.3256,112.791,6.097,59.7
road_detour,rrt_star,1,5,1.0,604.1209,38.675,3020.6044,96.5691,0.1072,1498.4
road_detour,rrt_star,5,25,1.0,576.5658,34.6783,14414.1447,96.6486,0.2205,1498.6
road_detour,rrt_star,20,100,1.0,553.3133,46.3509,55331.3278,96.6801,0.2111,1498.7
road_open,astar,1,5,1.0,0.3361,0.02,1.6803,232.0246,0.0,8.0
road_open,astar,5,25,1.0,0.3233,0.0172,8.0817,234.0275,1.3685,8.0
road_open,astar,20,100,1.0,0.3624,0.0879,36.236,233.7689,1.9597,8.0
road_open,rrt,1,5,1.0,0.0423,0.0036,0.2114,164.0547,0.0,1.0
road_open,rrt,5,25,1.0,0.0399,0.0019,0.9979,164.3587,0.6705,1.0
road_open,rrt,20,100,1.0,0.0523,0.0161,5.2312,164.2896,1.5637,1.0
road_open,rrt_star,1,5,1.0,414.1385,4.2541,2070.6925,168.5775,1.7329,1501.0
road_open,rrt_star,5,25,1.0,439.6117,18.8966,10990.2921,168.4248,2.325,1501.0
road_open,rrt_star,20,100,1.0,456.8545,38.8261,45685.4507,168.5496,3.1478,1501.0
