time,vehicle_id,scenario,position_x,position_z,speed,lane_id,behavior_state,lateral_error,heading_error,target_speed,collision_risk,ttc,event_type
0.0,pure_pursuit_40,lka_test,0.0,0.0,11.1111,curve_0,LaneKeeping,0.0,0.8185,11.1111,0.0,,
0.02,pure_pursuit_40,lka_test,0.0005,0.2222,11.1111,curve_0,LaneKeeping,-0.0027,0.6893,11.1111,0.0,,
0.04,pure_pursuit_40,lka_test,0.0015,0.4444,11.1111,curve_0,LaneKeeping,-0.0049,0.5646,11.1111,0.0,,
0.06,pure_pursuit_40,lka_test,0.0029,0.6667,11.1111,curve_0,LaneKeeping,-0.0066,0.4442,11.1111,0.0,,
0.08,pure_pursuit_40,lka_test,0.0048,0.8889,11.1111,curve_0,LaneKeeping,-0.0079,0.3278,11.1111,0.0,,
0.1,pure_pursuit_40,lka_test,0.0072,1.1111,11.1111,curve_0,LaneKeeping,-0.0087,0.2154,11.1111,0.0,,
0.12,pure_pursuit_40,lka_test,0.0099,1.3333,11.1111,curve_0,LaneKeeping,-0.0091,0.1068,11.1111,0.0,,
0.14,pure_pursuit_40,lka_test,0.0131,1.5555,11.1111,curve_0,LaneKeeping,-0.0091,0.0017,11.1111,0.0,,
0.16,pure_pursuit_40,lka_test,0.0167,1.7777,11.1111,curve_0,LaneKeeping,-0.0087,-0.1,11.1111,0.0,,
0.18,pure_pursuit_40,lka_test,0.0206,1.9999,11.1111,curve_0,LaneKeeping,0.0492,1.4386,11.1111,0.0,,
0.2,pure_pursuit_40,lka_test,0.0249,2.222,11.1111,curve_0,LaneKeeping,0.044,1.3432,11.1111,0.0,,
0.22,pure_pursuit_40,lka_test,0.0296,2.4442,11.1111,curve_0,LaneKeeping,0.0391,1.2509,11.1111,0.0,,
0.24,pure_pursuit_40,lka_test,0.0346,2.6664,11.1111,curve_0,LaneKeeping,0.0346,1.1613,11.1111,0.0,,
0.26,pure_pursuit_40,lka_test,0.04,2.8885,11.1111,curve_0,LaneKeeping,0.0304,1.0745,11.1111,0.0,,
0.28,pure_pursuit_40,lka_test,0.0457,3.1107,11.1111,curve_0,LaneKeeping,0.0266,0.9902,11.1111,0.0,,
0.3,pure_pursuit_40,lka_test,0.0517,3.3328,11.1111,curve_0,LaneKeeping,0.0231,0.9083,11.1111,0.0,,
0.32,pure_pursuit_40,lka_test,0.058,3.555,11.1111,curve_0,LaneKeeping,0.0199,0.8288,11.1111,0.0,,
0.34,pure_pursuit_40,lka_test,0.0647,3.7771,11.1111,curve_0,LaneKeeping,0.0171,0.7069,11.1111,0.0,,
0.36,pure_pursuit_40,lka_test,0.072,3.9992,11.1111,curve_0,LaneKeeping,0.0148,0.5894,11.1111,0.0,,
0.38,pure_pursuit_40,lka_test,0.0797,4.2213,11.1111,curve_0,LaneKeeping,0.013,0.476,11.1111,0.0,,
0.4,pure_pursuit_40,lka_test,0.0878,4.4434,11.1111,curve_0,LaneKeeping,0.0116,0.3665,11.1111,0.0,,
0.42,pure_pursuit_40,lka_test,0.0963,4.6654,11.1111,curve_0,LaneKeeping,0.0106,0.2608,11.1111,0.0,,
